readiness pure_cfa seed 23: step=6002000 target=6000000
Evaluation started for seed 23 at Wed Jul  1 20:49:40 EDT 2026
Loaded compatible base policy parameters from outputs/rl/velocity_2d_heuristic_1k_fast/final_model.zip (8 exact tensors, 2 input-prefix tensors).
created compatible 0M checkpoint: outputs/rl/ginsburg_20260622/eval/seed_23/panel_6a_learned_centered_recovery_200r/source_checkpoints/compatible_zero_model.zip
learned_0m vs learned_2m: wr=0.025 (200 rallies)
learned_0m vs centered_2m: wr=0.020 (200 rallies)
learned_0m vs learned_4m: wr=0.090 (200 rallies)
learned_0m vs centered_4m: wr=0.005 (200 rallies)
learned_0m vs learned_6m: wr=0.020 (200 rallies)
learned_0m vs centered_6m: wr=0.005 (200 rallies)
centered_0m vs learned_2m: wr=0.075 (200 rallies)
centered_0m vs centered_2m: wr=0.005 (200 rallies)
centered_0m vs learned_4m: wr=0.125 (200 rallies)
centered_0m vs centered_4m: wr=0.005 (200 rallies)
centered_0m vs learned_6m: wr=0.045 (200 rallies)
centered_0m vs centered_6m: wr=0.000 (200 rallies)
learned_1m vs learned_2m: wr=0.475 (200 rallies)
learned_1m vs centered_2m: wr=0.695 (200 rallies)
learned_1m vs learned_4m: wr=0.460 (200 rallies)
learned_1m vs centered_4m: wr=0.755 (200 rallies)
learned_1m vs learned_6m: wr=0.365 (200 rallies)
learned_1m vs centered_6m: wr=0.725 (200 rallies)
centered_1m vs learned_2m: wr=0.320 (200 rallies)
centered_1m vs centered_2m: wr=0.580 (200 rallies)
centered_1m vs learned_4m: wr=0.390 (200 rallies)
centered_1m vs centered_4m: wr=0.450 (200 rallies)
centered_1m vs learned_6m: wr=0.260 (200 rallies)
centered_1m vs centered_6m: wr=0.505 (200 rallies)
learned_2m vs centered_2m: wr=0.840 (200 rallies)
learned_2m vs learned_4m: wr=0.305 (200 rallies)
learned_2m vs centered_4m: wr=0.765 (200 rallies)
learned_2m vs learned_6m: wr=0.355 (200 rallies)
learned_2m vs centered_6m: wr=0.855 (200 rallies)
centered_2m vs learned_2m: wr=0.175 (200 rallies)
centered_2m vs learned_4m: wr=0.305 (200 rallies)
centered_2m vs centered_4m: wr=0.745 (200 rallies)
centered_2m vs learned_6m: wr=0.280 (200 rallies)
centered_2m vs centered_6m: wr=0.800 (200 rallies)
learned_3m vs learned_2m: wr=0.605 (200 rallies)
learned_3m vs centered_2m: wr=0.730 (200 rallies)
learned_3m vs learned_4m: wr=0.450 (200 rallies)
learned_3m vs centered_4m: wr=0.690 (200 rallies)
learned_3m vs learned_6m: wr=0.325 (200 rallies)
learned_3m vs centered_6m: wr=0.580 (200 rallies)
centered_3m vs learned_2m: wr=0.335 (200 rallies)
centered_3m vs centered_2m: wr=0.350 (200 rallies)
centered_3m vs learned_4m: wr=0.490 (200 rallies)
centered_3m vs centered_4m: wr=0.555 (200 rallies)
centered_3m vs learned_6m: wr=0.240 (200 rallies)
centered_3m vs centered_6m: wr=0.670 (200 rallies)
learned_4m vs learned_2m: wr=0.675 (200 rallies)
learned_4m vs centered_2m: wr=0.755 (200 rallies)
learned_4m vs centered_4m: wr=0.415 (200 rallies)
learned_4m vs learned_6m: wr=0.295 (200 rallies)
learned_4m vs centered_6m: wr=0.545 (200 rallies)
centered_4m vs learned_2m: wr=0.325 (200 rallies)
centered_4m vs centered_2m: wr=0.255 (200 rallies)
centered_4m vs learned_4m: wr=0.530 (200 rallies)
centered_4m vs learned_6m: wr=0.345 (200 rallies)
centered_4m vs centered_6m: wr=0.760 (200 rallies)
learned_5m vs learned_2m: wr=0.700 (200 rallies)
learned_5m vs centered_2m: wr=0.800 (200 rallies)
learned_5m vs learned_4m: wr=0.720 (200 rallies)
learned_5m vs centered_4m: wr=0.650 (200 rallies)
learned_5m vs learned_6m: wr=0.575 (200 rallies)
learned_5m vs centered_6m: wr=0.670 (200 rallies)
centered_5m vs learned_2m: wr=0.305 (200 rallies)
centered_5m vs centered_2m: wr=0.315 (200 rallies)
centered_5m vs learned_4m: wr=0.450 (200 rallies)
