source,match,set,rally_id,rally,ball_round,rally_length,player,shot_type,raw_shot_type,terminal_reason,getpoint_player,landing_x,landing_y,contact_x,contact_y,recovery_x,recovery_y,opponent_x,opponent_y,landing_area,player_location_area,opponent_location_area
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,1,10,B,long service,發長球,,,1.6204208845230552,6.211168586939052,-0.31086996188183375,-2.8411375624345343,0.21027108654330412,-4.235895570545848,0.6636713782803458,4.444339225981943,3,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,2,10,A,drop,切球,,,1.35490623116976,2.991111093406625,1.6204208845230552,-6.211168586939052,0.7700728408930726,-4.835545190699614,0.21027108654330412,4.235895570545848,6,3,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,3,10,B,lob,挑球,,,1.638203801482903,6.016948129204251,1.35490623116976,-2.991111093406625,0.3354609172600283,-3.947204901059567,0.7700728408930726,4.835545190699614,3,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,4,10,A,drop,切球,,,-1.9508109653075052,1.5431934798994464,1.638203801482903,-6.016948129204251,-0.034047011856546745,-3.895669227837764,0.3354609172600283,3.947204901059567,1,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,5,10,B,lob,挑球,,,-1.553655828553095,5.798942049019253,-1.9508109653075052,-1.5431934798994464,-0.7148835025663327,-3.67274295209748,-0.034047011856546745,3.895669227837764,4,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,6,10,A,drop,切球,,,-1.5373337169705787,0.8932436400442451,-1.553655828553095,-5.798942049019253,-0.5898298103366416,-4.626124789391716,-0.7148835025663327,3.67274295209748,1,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,7,10,B,net shot,放小球,,,-1.570054122458772,0.4754824169288475,-1.5373337169705787,-0.8932436400442451,-0.7806559479914383,-2.0492098910993954,-0.5898298103366416,4.626124789391716,2,5,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,8,10,A,lob,挑球,,,1.1461489243762184,4.343149450645312,-1.570054122458772,-0.4754824169288475,0.29681734290746914,-3.932507502719788,-0.7806559479914383,2.0492098910993954,8,2,7
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,9,10,B,smash,殺球,,,1.397627760177233,3.931152220582659,1.1461489243762184,-4.343149450645312,1.1769785392995635,-4.054032866853043,0.29681734290746914,3.932507502719788,5,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally1,1,10,10,A,return net,擋小球,touched the net,B,-0.18386920385087008,-0.20544319081669743,1.397627760177233,-3.931152220582659,,,1.1769785392995635,4.054032866853043,7,8,8
